Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
452,MBBS,Rajasthan,"Jawaharlal Nehru Medical College, Ajmer",Rajasthan University,Govt.,1965,250,"Recognized for 100 seats. Recognised for increase of seats from 100 to 150 when degree granted on or after February 2018. (Previously under Rajasthan University). Permitted for increase of seats from 150 to 250 (50 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023 - 2024.",N/A
453,MBBS,Rajasthan,"Jhalawar Medical College, Jhalawar",Rajasthan University,Govt.,2008,200,Recognized  for 100 seats when degree granted on or after February 2013. Renewal of permission with increase of seats from 100 to 150 seats granted in 2016-17. Recognized for 150 seats when degree granted on or after 2021-22. Permitted for increase of seats from 150 to 200 under EWS quota (103rd constitution amendment) for 2019-20 & onwards. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,15-07-2008
454,MBBS,Rajasthan,"Mahatma Gandhi Medical College and Hospital, Sitapur, Jaipur ","Mahatma Gandhi University of Medical Science & Technology, Jaipur",Trust,2001,250,Other Increase of 150 to 250 seats for 2021-22. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
455,MBBS,Rajasthan,"National Institute of Medical Science & Research, Jaipur","NIMS University (Deemed), Jaipur",Trust,2004,250,"Recognized for 100 seats. Recognised for increase of seats from 100-150 when degree granted on or after March 2016, Increase of 150 to 250 seats for 2021-22, Recognized for 100 seats. Recognised for increase of seats from 100-150 when degree granted on or after March 2016, Increase of 150 to 250 seats for 2021-22. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted (2nd renewal) and permission for 3rd batch for Academic Year 2023 - 2024.",N/A
456,MBBS,Rajasthan,"Pacific Institute of Medical Sciences, Umarda, Udaipur","Sai Tirupati University, Udaipur",Society,2015,150,Recognized for 150 seats when degree granted on or after January 2020. (Previously under Rajasthan University of Health Sciences). Cancellation of Letter of renewal of permission granted for the academic year 2021-22 with immediate effect from 14-04-2022. The college was inspected in the month of August 2022 and found eligible for admission to MBBS course for the Academic Year 2022-2023.,15-06-2015
457,MBBS,Rajasthan,"Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur",Rajasthan University of Health Sciences,Trust,2014,150,"Recognized when degree granted on or after January,2019 (Previously under RUHS). Admissions for the Academic Year 2023 - 2024 have been stopped by MARB of NMC.",02-07-2014
458,MBBS,Rajasthan,"R N T Medical College, Udaipur",Rajasthan University of Health Sciences,Govt.,1961,250,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after February,2018. (Previously under Rajasthan University). Permitted for increase of seats from 150 to 250 (50 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21, Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after February,2018. (Previously under Rajasthan University). Permitted for increase of seats from 150 to 250 (50 seats permitted under EWS quota, 103rd constitution amendment for 2019-20) u/s 10(A) for 2020-21. Permitted for Renewal of 200-250 seats for the academic year 2022-23. Permitted (3rd renewal) 4th batch for the Academic Year 2023 -2024.",N/A
459,MBBS,Rajasthan,"RUHS College of Medical Sciences, Jaipur",Rajasthan University of Health Sciences,Govt.,2014,150,Recognized for 100 seats when degree granted on or after February 2019. Permitted for increase of seats from 100 to 150 under EWS quota (103rd constitution amendment) for 2019-20.,08-08-2014
460,MBBS,Rajasthan,"Sardar Patel Medical College, Bikaner",Rajasthan University of Health Sciences,Govt.,1959,250,Recognized for 100 seats. Recognized for increase of seats from 100 to 150 seats. Recognized for increase of seats from 150 to 250 seats when degree granted on or after February 2018 (Previously under Rajasthan University). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
461,MBBS,Rajasthan,"Shri Kalyan Govt. Medical College, Sikar, Rajasthan",Rajasthan University of Health Sciences,Govt.,2020,100,"Permitted u/s 10(A) for 2020-21, Permitted for Renewal of 100 seats for the academic year 2022-23. Permitted (3rd renewal) and permission for 4th batch for Academic Year 2023 - 2024.",15-10-2020
462,MBBS,Rajasthan,"SMS Medical College, Jaipur",Rajasthan University of Health Sciences,Govt.,1947,250,Recognized for 150 seats. Recognized for increase of seats from 150 to 250 seats when degree granted on or after February 2018.(Previously under Rajasthan University). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
463,MBBS,Sikkim,"Sikkim Manipal Institute of Medical Sciences, Gangtok","Sikkim Manipal Univ. of Health,Medical & Tech. Scs",Trust,2000,150,"Recognized for 50 seats. Recognized for increase of seats from 50 to 100 in respect of the students admitted till 2016-17. Permitted for admission with increase in seats from 100 to 150 from 2021-22, Increase of 100 to 150 seats for 2021-22. Permitted of renewal of 100 to 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",N/A
464,MBBS,Tamil Nadu,"ACS Medical College and Hospital, Chennai","Dr. MGR Educational and Research Institute (Deemed University), Chennai",Trust,2008,250,"Recognized for award of degree only in respect of 150 students admitted in 2008-09 (Central govt. Notification no. U.12012/328/206-ME(P-II) dated 01.10.2013) and in respect of 150 students admitted in 2009-10 only (Central govt. Notification no. U.12012/224/2015-ME. Vo. 1). Permitted to admit fresh batch of 150 students in 2016-17 (04/01/2016). Renewal of permission to admit 150 students continued from 2017-18 onwards. Recognized for 150 seats in respect of the students admitted in 2016-17 for academic year 2021-22 only. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24. Hundred (100) MBBS seats have been increased i.e. 150 to 250 u/s 26 (1) (a( (b), 28 )1) (2) and 61 (2) of NMC Act, 2029 during Academic Year 2023 - 2024.",04-07-2008
465,MBBS,Tamil Nadu,"All India Institute of Medical Sciences, Madurai","Statutory Autonomous, AIIMS (Madurai)",Govt.,,50,Other ,N/A
466,MBBS,Tamil Nadu,"Annapoorna Medical College & Hospital, Salem","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2011,150,Recognized when degree granted on or after 2016.,08-06-2011
467,MBBS,Tamil Nadu,Arunai Medical College And Hospital,"The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",01-11-2021
468,MBBS,Tamil Nadu,Bhaarat Medical College & Hospital ,"Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2020,150,"Permitted u/s 10(A) for 2020-21, PermittedÃ‚Â u/s 10(A) for 2020-21. Permitted for renewal of 150 seats for the academic year 2022-23. Permitted (3rd renewal) and permission for 4th batch for Academic Year 2023 - 2024.",15-10-2020
469,MBBS,Tamil Nadu,"Chengalpattu Medical College, Chengalpattu","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1965,100,"Recognized for 100 MBBS seats annually upto April, 2027.",N/A
470,MBBS,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,250,"Recognized when degree granted on or after February, 2011. Permitted for renewal of increase of seats from 150 to 250 u/s 10(A)for 2020-21., Recognized when degree granted on or after February, 2011. Permitted for renewal of increase of seats from 150 to 250 u/s 10(A)for 2020-21. Permitted for Renewal of 150-250 seats for the academic year 2022-23. Permitted for 4th renewal 5th batch for the Academic Year 2023 -2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
471,MBBS,Tamil Nadu,"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,1942,100,"Recognized  for 60 seats. Recognized for increase of seats from 60 to 100 when degree granted on or after February, 2017. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
472,MBBS,Tamil Nadu,"Coimbatore Medical College, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1966,200,"Recognized Batch recognition to 2016-'17 batch granted for award of degree to 150 seats when degree granted in 2021'22. Permission for admitting 150 seats renewed for academic year 2021-'22, Increase of 150 to 200 seats for 2021-22, Recognized Batch recognition to 2016-'17 batch granted for award of degree to 150 seats when degree granted in 2021'22. Permission for admitting 150 seats renewed for academic year 2021-22, Increase of 150 to 200 seats for 2021-22. Permitted for Renewal of 150-200 seats for the academic year 2022-23. Permitted for 2nd renewal 3rd batch for the Academic Year 2023 -2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
473,MBBS,Tamil Nadu,"Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital,","Dhanalakshmi Srinivasan University, a state private University of Tamil Nadu",Trust,2023,150,"Permitted u/s 26 (1) (a) (b) , 28 (1) (2) and section 61(2) of NMC Act. 2019 for A/Y 2023-2024.",21-03-2023
474,MBBS,Tamil Nadu,"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2011,250,"Recognized when degree granted on or after 2016. The recognition is conditional granted by Oversight Committee. Permitted for increase of seats 150 to 200 under section 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22 and increase of 200 to 250 seats permitted in the academic year 2022-2023 on the basis of the order of hon'ble High Court in WP (c) no. 5339 of 2022. Renewal of 150-200 seats for the academic year 2022-23. Permitted for renewal for the Academic Year 2023 -2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",08-06-2011
475,MBBS,Tamil Nadu,"E.S.I.C. Medical College & Hospital, K.K. Nagar, Chennai earlier known as ESIC Medical College & PGIMSR, K.K Nagar, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2013,150,"Recognized when degree granted on or after February, 2018. Permitted for increase of seats from 100 to 125 under EWS quota (103rd Constitution Amendment for 2020-21 and extended for 2021-22. Permitted to increase 25 MBBS seats during A/Y 2023-2024. Total Seat ( 100 + 25 EWS + increase 25 = 150 MBBS Seat). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",10-07-2013
476,MBBS,Tamil Nadu,"Faculty of Medicine , Sri Lalithambigai Medical College and Hospital","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the academic year 2023-2024.",01-11-2021
477,MBBS,Tamil Nadu,"Government Dharmapuri Medical College, Dharmapuri","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2008,100,"Recognized when degree granted on or after February, 2013. Continuation of Recognition granted for five (05) years when degree granted upto February, 2028.",N/A
478,MBBS,Tamil Nadu,"Government Erode Medical College & Hospital, Perundurai (Formerly IRT Perundurai Medical College)","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1992,100,Recognized for 60 seats. Permitted for renewal of permission for increase of seats from 60 to 100 u/s 10(A) for 2020-21.,N/A
479,MBBS,Tamil Nadu,"Government Medical College,Ariyalur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",11-03-2021
480,MBBS,Tamil Nadu,"Government Medical College,Dindigul","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted 2nd renewal 3rd batch for A/Y 2023-2024.",11-03-2021
481,MBBS,Tamil Nadu,"Government Medical College & ESIC Hospital, Coimbatore, Tamil Nadu.","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2016,100,Other granted renewal of permission u/s 10(A) for 2020-21. Recognized for 100 seats only in respect of the students admitted in 2016-17 for academic year 2021-22,15-06-2016
482,MBBS,Tamil Nadu,Government Medical College Kallakurichi,"The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2021,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 150 seats for the academic year 2022-23. Permission for 3rd batch (2nd renewal) has been given during A/Y 2023-2024.",01-11-2021
483,MBBS,Tamil Nadu,"Government Medical College, Karur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2019,150,"Permitted for renewal of permission u/s 10(A) from 2020-21, Permitted for Renewal of 150 seats for the academic year 2022-23. Permitted (4th renewal) and 5th batch for the Academic Year 2023 - 2024.",18-05-2019
